lead_id,source,course_interested,city,budget_range,lead_score,first_contact_date,response_time_hours,num_follow_ups,converted,conversion_date,revenue
LD10001,Google Ads,Full Stack Development,Bengaluru,<15k,86,2026-04-23,54.2,3,Y,2026-05-18,12797
LD10002,Instagram Ads,Full Stack Development,Mumbai,30k-50k,70,2025-11-06,3.6,2,N,,0
LD10003,Google Ads,Business Analytics,Hyderabad,15k-30k,40,2026-01-14,17.0,1,N,,0
LD10004,Instagram Ads,Full Stack Development,Kolkata,<15k,12,2025-12-30,13.0,1,N,,0
LD10005,Instagram Ads,Data Science Bootcamp,Hyderabad,<15k,42,2026-05-20,1.2,4,N,,0
LD10006,Google Ads,Business Analytics,Bengaluru,15k-30k,92,2026-05-03,0.6,3,N,,0
LD10007,Referral,Power BI & Tableau,Kolkata,15k-30k,34,2026-07-01,3.7,6,N,,0
LD10008,LinkedIn,Business Analytics,Delhi NCR,50k+,23,2025-11-23,7.9,2,N,,0
LD10009,Instagram Ads,Data Science Bootcamp,Kolkata,15k-30k,66,2026-02-23,78.0,2,N,,0
LD10010,Organic Search,Digital Marketing,Pune,30k-50k,72,2025-11-08,1.4,1,N,,0
LD10011,Referral,Business Analytics,Hyderabad,30k-50k,78,2025-12-29,7.2,1,N,,0
LD10012,LinkedIn,Data Science Bootcamp,Hyderabad,50k+,37,2026-03-17,11.5,3,N,,0
LD10013,Google Ads,Digital Marketing,Delhi NCR,30k-50k,26,2025-11-07,13.3,1,N,,0
LD10014,LinkedIn,Data Science Bootcamp,Hyderabad,50k+,75,2025-12-24,5.2,3,Y,2025-12-26,70586
LD10015,LinkedIn,Python for Data Analysis,Delhi NCR,<15k,40,2026-04-26,18.1,6,N,,0
LD10016,Google Ads,Full Stack Development,Mumbai,30k-50k,48,2026-03-28,30.7,1,N,,0
LD10017,Google Ads,Full Stack Development,Bengaluru,<15k,51,2025-12-30,4.5,1,N,,0
LD10018,Organic Search,Full Stack Development,Delhi NCR,15k-30k,63,2026-04-09,8.1,4,N,,0
LD10019,Instagram Ads,Data Science Bootcamp,Hyderabad,15k-30k,64,2026-06-08,16.9,1,N,,0
LD10020,Instagram Ads,Python for Data Analysis,Ahmedabad,30k-50k,49,2025-11-01,12.1,4,N,,0
LD10021,Google Ads,Full Stack Development,Pune,30k-50k,45,2026-06-07,18.0,2,N,,0
LD10022,Instagram Ads,Digital Marketing,Mumbai,30k-50k,73,2026-05-09,16.1,1,N,,0
LD10023,Instagram Ads,Full Stack Development,Hyderabad,30k-50k,39,2026-01-31,18.7,2,N,,0
LD10024,LinkedIn,Power BI & Tableau,Mumbai,15k-30k,48,2025-12-12,5.4,4,Y,2025-12-28,23761
LD10025,Referral,Business Analytics,Kolkata,50k+,60,2026-07-19,7.5,6,Y,2026-07-21,65633
LD10026,Organic Search,Digital Marketing,Chennai,15k-30k,40,2026-01-30,19.0,2,N,,0
LD10027,Organic Search,Data Science Bootcamp,Bengaluru,15k-30k,27,2025-11-25,18.9,3,N,,0
LD10028,Walk-in,Digital Marketing,Delhi NCR,50k+,39,2025-11-26,9.0,6,N,,0
LD10029,Google Ads,Data Science Bootcamp,Chennai,15k-30k,64,2026-06-19,0.4,5,N,,0
LD10030,LinkedIn,Business Analytics,Kolkata,50k+,53,2026-04-13,6.3,3,N,,0
LD10031,Walk-in,Full Stack Development,Pune,50k+,76,2026-06-08,21.4,2,N,,0
LD10032,Organic Search,Digital Marketing,Mumbai,15k-30k,56,2026-05-18,21.8,6,N,,0
LD10033,Organic Search,Full Stack Development,Kolkata,30k-50k,45,2026-03-26,18.9,5,N,,0
LD10034,Referral,Power BI & Tableau,Chennai,50k+,56,2026-07-23,6.1,1,Y,2026-08-05,63182
LD10035,Instagram Ads,Business Analytics,Ahmedabad,15k-30k,55,2026-02-11,13.3,3,N,,0
LD10036,Referral,Data Science Bootcamp,Hyderabad,<15k,41,2026-03-30,23.3,4,N,,0
LD10037,Instagram Ads,Business Analytics,Kolkata,15k-30k,45,2026-06-14,0.5,4,N,,0
LD10038,Organic Search,Power BI & Tableau,Kolkata,<15k,41,2026-04-17,19.4,5,N,,0
LD10039,Google Ads,Python for Data Analysis,Delhi NCR,50k+,50,2026-06-23,25.5,0,N,,0
LD10040,Google Ads,Power BI & Tableau,Hyderabad,<15k,92,2026-04-06,11.5,2,N,,0
LD10041,Referral,Full Stack Development,Chennai,30k-50k,58,2026-05-11,0.8,5,Y,2026-05-18,43521
LD10042,Referral,Data Science Bootcamp,Kolkata,30k-50k,42,2025-11-12,8.8,7,Y,2025-11-13,36145
LD10043,Instagram Ads,Business Analytics,Bengaluru,50k+,43,2026-01-01,20.7,1,N,,0
LD10044,Organic Search,Full Stack Development,Pune,30k-50k,71,2026-01-18,17.8,4,N,,0
LD10045,LinkedIn,Power BI & Tableau,Delhi NCR,<15k,86,2025-11-21,83.8,3,N,,0
LD10046,Instagram Ads,Full Stack Development,Pune,15k-30k,46,2026-01-02,41.9,4,Y,2026-01-19,20201
LD10047,Google Ads,Digital Marketing,Bengaluru,15k-30k,79,2025-11-27,53.9,4,N,,0
LD10048,Organic Search,Power BI & Tableau,Ahmedabad,30k-50k,31,2026-01-14,28.1,1,Y,2026-01-20,39532
LD10049,LinkedIn,Data Science Bootcamp,Chennai,<15k,67,2026-04-22,7.8,1,N,,0
LD10050,Instagram Ads,Digital Marketing,Bengaluru,15k-30k,82,2026-02-07,21.7,2,Y,2026-02-08,24141
LD10051,Google Ads,Business Analytics,Hyderabad,<15k,61,2026-02-09,8.3,5,N,,0
LD10052,LinkedIn,Full Stack Development,Hyderabad,50k+,84,2025-12-27,2.1,1,N,,0
LD10053,Instagram Ads,Power BI & Tableau,Pune,15k-30k,52,2026-01-11,2.3,3,N,,0
LD10054,LinkedIn,Full Stack Development,Pune,50k+,63,2026-07-13,4.6,1,N,,0
LD10055,Instagram Ads,Digital Marketing,Mumbai,50k+,64,2026-04-25,39.9,2,N,,0
LD10056,Referral,Power BI & Tableau,Delhi NCR,15k-30k,56,2026-04-15,21.4,4,N,,0
LD10057,Walk-in,Python for Data Analysis,Ahmedabad,30k-50k,12,2025-12-16,39.8,3,N,,0
LD10058,Instagram Ads,Power BI & Tableau,Hyderabad,50k+,44,2026-05-18,66.0,6,N,,0
LD10059,LinkedIn,Business Analytics,Hyderabad,15k-30k,53,2025-12-14,53.9,5,N,,0
LD10060,Walk-in,Digital Marketing,Mumbai,<15k,49,2026-02-11,2.9,6,N,,0
LD10061,Instagram Ads,Power BI & Tableau,Bengaluru,15k-30k,27,2026-07-28,36.0,8,N,,0
LD10062,Referral,Data Science Bootcamp,Mumbai,<15k,65,2026-04-23,8.0,2,N,,0
LD10063,Referral,Data Science Bootcamp,Chennai,<15k,84,2026-04-01,34.4,4,N,,0
LD10064,Instagram Ads,Data Science Bootcamp,Delhi NCR,15k-30k,72,2026-05-05,0.3,3,N,,0
LD10065,Google Ads,Full Stack Development,Mumbai,50k+,54,2026-06-18,13.0,5,N,,0
LD10066,Google Ads,Power BI & Tableau,Ahmedabad,15k-30k,70,2026-05-30,70.4,3,N,,0
LD10067,Instagram Ads,Business Analytics,Kolkata,50k+,32,2026-01-01,2.5,1,N,,0
LD10068,LinkedIn,Business Analytics,Hyderabad,<15k,64,2025-11-08,11.6,2,Y,2025-11-10,11468
LD10069,Instagram Ads,Full Stack Development,Chennai,50k+,56,2026-01-25,1.7,2,N,,0
LD10070,Instagram Ads,Python for Data Analysis,Ahmedabad,50k+,9,2026-01-12,28.9,2,N,,0
LD10071,Instagram Ads,Full Stack Development,Hyderabad,<15k,49,2025-12-27,5.8,3,N,,0
LD10072,Google Ads,Data Science Bootcamp,Chennai,50k+,8,2026-07-15,11.2,1,N,,0
LD10073,Organic Search,Data Science Bootcamp,Mumbai,15k-30k,85,2026-06-27,40.6,2,N,,0
LD10074,Instagram Ads,Business Analytics,Pune,50k+,5,2026-01-24,8.5,0,N,,0
LD10075,Instagram Ads,Python for Data Analysis,Delhi NCR,15k-30k,54,2026-04-27,7.1,3,Y,2026-05-03,22382
LD10076,Organic Search,Python for Data Analysis,Hyderabad,15k-30k,84,2026-02-16,10.2,1,N,,0
LD10077,Referral,Python for Data Analysis,Bengaluru,<15k,45,2026-07-07,15.2,4,N,,0
LD10078,Instagram Ads,Full Stack Development,Hyderabad,<15k,42,2026-03-05,6.0,2,N,,0
LD10079,Google Ads,Business Analytics,Kolkata,15k-30k,43,2026-01-11,72.7,1,N,,0
LD10080,Organic Search,Python for Data Analysis,Mumbai,50k+,70,2026-01-06,47.7,4,N,,0
LD10081,Google Ads,Python for Data Analysis,Pune,<15k,24,2026-04-02,12.8,1,N,,0
LD10082,Instagram Ads,Python for Data Analysis,Kolkata,<15k,70,2026-01-10,11.8,1,N,,0
LD10083,Instagram Ads,Digital Marketing,Delhi NCR,50k+,65,2026-04-08,1.2,4,N,,0
LD10084,Google Ads,Python for Data Analysis,Pune,50k+,83,2026-07-03,7.7,6,Y,2026-07-13,65968
LD10085,LinkedIn,Business Analytics,Mumbai,30k-50k,62,2026-02-17,2.7,2,N,,0
LD10086,Referral,Data Science Bootcamp,Chennai,<15k,46,2025-12-29,8.0,4,N,,0
LD10087,Google Ads,Data Science Bootcamp,Ahmedabad,<15k,72,2026-07-30,24.8,3,N,,0
